1732654811.975,Stop Drawing,0,,,,2024-11-26T21:00:11.975000
1732654811.975,Stop Drawing,0,0,medium,,2024-11-26T21:00:11.975000
1732654811.975,Stop Drawing,0,0,[[0.5]],1,2024-11-26T21:00:11.975000
1732654811.691,Start Drawing,1,,,,2024-11-26T21:00:11.691000
1732654811.691,Start Drawing,1,1,[[0.5]],,2024-11-26T21:00:11.691000
1732654811.691,Start Drawing,1,1,[[0.5]],1,2024-11-26T21:00:11.691000
1732654813.654,Start Drawing,1,,,,2024-11-26T21:00:13.654000
1732654813.654,Start Drawing,1,1,[[0.5]],,2024-11-26T21:00:13.654000
1732654814.441,Stop Drawing,0,,,,2024-11-26T21:00:14.441000
1732654814.441,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:00:14.441000
1732654815.063,Start Drawing,1,,,,2024-11-26T21:00:15.063000
1732654815.063,Start Drawing,1,1,[[0.5]],,2024-11-26T21:00:15.063000
1732654815.829,Stop Drawing,0,,,,2024-11-26T21:00:15.829000
1732654815.829,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:00:15.829000
1732654816.762,Start Drawing,1,,,,2024-11-26T21:00:16.762000
1732654816.762,Start Drawing,1,1,[[0.5]],,2024-11-26T21:00:16.762000
1732654817.405,Stop Drawing,0,,,,2024-11-26T21:00:17.405000
1732654817.405,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:00:17.405000
1732654818.481,Start Drawing,1,,,,2024-11-26T21:00:18.481000
1732654818.481,Start Drawing,1,1,[[0.5]],,2024-11-26T21:00:18.481000
1732654818.987,Stop Drawing,0,,,,2024-11-26T21:00:18.987000
1732654818.987,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:00:18.987000
1732654820.087,Changed Line Width to 8,0,,,,2024-11-26T21:00:20.087000
1732654820.087,Changed Line Width to 8,0,0,[[0.5]],,2024-11-26T21:00:20.087000
1732654821.002,Changed Line Width to 16,0,,,,2024-11-26T21:00:21.002000
1732654821.002,Changed Line Width to 16,0,0,[[0.5]],,2024-11-26T21:00:21.002000
1732654822.702,Changed Color to #ff9900,0,,,,2024-11-26T21:00:22.702000
1732654822.702,Changed Color to #ff9900,0,0,high,,2024-11-26T21:00:22.702000
1732654823.132,Start Drawing,1,,,,2024-11-26T21:00:23.132000
1732654823.132,Start Drawing,1,1,high,,2024-11-26T21:00:23.132000
1732654823.479,Stop Drawing,0,,,,2024-11-26T21:00:23.479000
1732654823.479,Stop Drawing,0,0,high,,2024-11-26T21:00:23.479000
1732654823.983,Start Drawing,1,,,,2024-11-26T21:00:23.983000
1732654823.983,Start Drawing,1,1,high,,2024-11-26T21:00:23.983000
1732654824.467,Stop Drawing,0,,,,2024-11-26T21:00:24.467000
1732654824.467,Stop Drawing,0,0,high,,2024-11-26T21:00:24.467000
1732654825.261,Start Drawing,1,,,,2024-11-26T21:00:25.261000
1732654825.261,Start Drawing,1,1,high,,2024-11-26T21:00:25.261000
1732654825.789,Stop Drawing,0,,,,2024-11-26T21:00:25.789000
1732654825.789,Stop Drawing,0,0,high,,2024-11-26T21:00:25.789000
1732654826.258,Start Drawing,1,,,,2024-11-26T21:00:26.258000
1732654826.258,Start Drawing,1,1,high,,2024-11-26T21:00:26.258000
1732654826.719,Stop Drawing,0,,,,2024-11-26T21:00:26.719000
1732654826.719,Stop Drawing,0,0,high,,2024-11-26T21:00:26.719000
1732654826.719,Stop Drawing,0,0,[[0.9]],1,2024-11-26T21:00:26.719000
1732654827.41,Start Drawing,1,,,,2024-11-26T21:00:27.410000
1732654827.41,Start Drawing,1,1,[[0.9]],,2024-11-26T21:00:27.410000
1732654827.942,Stop Drawing,0,,,,2024-11-26T21:00:27.942000
1732654827.942,Stop Drawing,0,0,[[0.9]],,2024-11-26T21:00:27.942000
1732654829.753,Changed Line Width to 20,0,,,,2024-11-26T21:00:29.753000
1732654829.753,Changed Line Width to 20,0,0,[[0.9]],,2024-11-26T21:00:29.753000
1732654832.543,Changed Color to #ff0000,0,,,,2024-11-26T21:00:32.543000
1732654832.543,Changed Color to #ff0000,0,0,[[0.9]],,2024-11-26T21:00:32.543000
1732654832.994,Start Drawing,1,,,,2024-11-26T21:00:32.994000
1732654832.994,Start Drawing,1,1,high,,2024-11-26T21:00:32.994000
1732654834.218,Stop Drawing,0,,,,2024-11-26T21:00:34.218000
1732654834.218,Stop Drawing,0,0,high,,2024-11-26T21:00:34.218000
1732654835.255,Start Drawing,1,,,,2024-11-26T21:00:35.255000
1732654835.255,Start Drawing,1,1,high,,2024-11-26T21:00:35.255000
