timestamp,action,interaction_value
1732317566.325,Stop Drawing,0
1732317567.274,Start Drawing,1
1732317568.307,Stop Drawing,0
1732317568.991,Start Drawing,1
1732317570.035,Stop Drawing,0
1732317570.655,Start Drawing,1
1732317571.406,Stop Drawing,0
1732317572.14,Start Drawing,1
1732317573.069,Stop Drawing,0
1732317574.184,Start Drawing,1
1732317575.218,Stop Drawing,0
1732317575.862,Start Drawing,1
1732317576.651,Stop Drawing,0
1732317577.332,Start Drawing,1
1732317578.15,Stop Drawing,0
1732317579.048,Start Drawing,1
1732317580.259,Stop Drawing,0
1732317580.946,Start Drawing,1
1732317582.189,Stop Drawing,0
1732317582.784,Start Drawing,1
1732317583.735,Stop Drawing,0
1732317584.352,Start Drawing,1
1732317585.186,Stop Drawing,0
1732317586.039,Start Drawing,1
1732317586.743,Stop Drawing,0
1732317587.243,Start Drawing,1
1732317587.967,Stop Drawing,0
1732317588.866,Start Drawing,1
1732317589.566,Stop Drawing,0
1732317590.074,Start Drawing,1
1732317590.879,Stop Drawing,0
1732317591.463,Start Drawing,1
1732317592.152,Stop Drawing,0
1732317748.162,Reset Canvas,0
1732317748.716,Start Drawing,1
1732317748.98,Stop Drawing,0
1732317750.692,Start Drawing,1
1732317751.243,Stop Drawing,0
1732317754.591,Start Drawing,1
1732317755.019,Stop Drawing,0
1732317755.838,Start Drawing,1
1732317756.354,Stop Drawing,0
1732317786.299,Start Drawing,1
1732317786.566,Stop Drawing,0
1732317787.248,Start Drawing,1
1732317788.05,Stop Drawing,0
1732317793.537,Start Drawing,1
1732317793.964,Stop Drawing,0
1732317794.496,Start Drawing,1
1732317795.058,Stop Drawing,0
1732317795.501,Start Drawing,1
1732317796.199,Stop Drawing,0
1732317796.867,Start Drawing,1
1732317797.784,Stop Drawing,0
1732317799.77,Start Drawing,1
1732317800.187,Stop Drawing,0
1732317800.677,Start Drawing,1
1732317801.446,Stop Drawing,0
1732317801.934,Start Drawing,1
1732317802.887,Stop Drawing,0
1732317803.476,Start Drawing,1
1732317804.122,Stop Drawing,0
1732318265.138,Reset Canvas,0
1732318267.02,Start Drawing,1
1732318267.365,Stop Drawing,0
1732318268.629,Start Drawing,1
1732318269.855,Stop Drawing,0
1732318271.232,Start Drawing,1
1732318272.804,Stop Drawing,0
1732318273.528,Start Drawing,1
1732318275.998,Stop Drawing,0
1732318276.9,Start Drawing,1
1732318279.239,Stop Drawing,0
1732318280.706,Start Drawing,1
1732318283.896,Stop Drawing,0
1732318284.678,Start Drawing,1
1732318285.938,Stop Drawing,0
1732318286.94,Start Drawing,1
1732318289.091,Stop Drawing,0
1732318290.42,Start Drawing,1
1732318291.773,Stop Drawing,0
1732318293.497,Start Drawing,1
1732318301.269,Stop Drawing,0
1732318328.358,Start Drawing,1
1732318329.059,Stop Drawing,0
1732318329.781,Start Drawing,1
1732318330.647,Stop Drawing,0
1732318331.163,Start Drawing,1
1732318333.016,Stop Drawing,0
1732318333.849,Start Drawing,1
1732318334.645,Stop Drawing,0
1732318400.033,Start Drawing,1
1732318400.221,Stop Drawing,0
1732318450.375,Reset Canvas,0
1732318450.996,Start Drawing,1
1732318451.33,Stop Drawing,0
1732318452.76,Start Drawing,1
1732318453.907,Stop Drawing,0
1732318455.502,Start Drawing,1
1732318456.118,Stop Drawing,0
1732318457.27,Start Drawing,1
1732318457.811,Stop Drawing,0
1732318458.454,Start Drawing,1
1732318459.235,Stop Drawing,0
1732318459.917,Start Drawing,1
1732318460.492,Stop Drawing,0
1732318460.983,Start Drawing,1
1732318462.51,Stop Drawing,0
1732318466.766,Changed Color to #000000,0
1732318467.745,Start Drawing,1
1732318468.218,Stop Drawing,0
1732318468.929,Start Drawing,1
1732318470.745,Stop Drawing,0
1732318472.157,Changed Line Width to 17,0
1732318473.122,Start Drawing,1
1732318474.825,Stop Drawing,0
1732318477.666,Changed Color to #00ff00,0
1732318478.408,Start Drawing,1
1732318480.34,Stop Drawing,0
1732318481.455,Start Drawing,1
1732318482.802,Stop Drawing,0
1732318484.125,Start Drawing,1
1732318484.49,Stop Drawing,0
1732318486.993,Changed Line Width to 19,0
1732318487.002,Changed Line Width to 20,0
1732318487.018,Changed Line Width to 21,0
1732318487.033,Changed Line Width to 22,0
1732318487.049,Changed Line Width to 24,0
1732318487.083,Changed Line Width to 25,0
1732318487.149,Changed Line Width to 26,0
1732318489.347,Changed Color to #00ffff,0
1732318490.048,Start Drawing,1
1732318490.535,Stop Drawing,0
1732318491.91,Start Drawing,1
1732318492.59,Stop Drawing,0
1732318495.154,Stop Drawing,0
1732318495.653,Start Drawing,1
1732318496.164,Stop Drawing,0
1732318503.333,Start Drawing,1
