1732655883.507,Reset Canvas,0,,,,2024-11-26T21:18:03.507000
1732655885.09,Start Drawing,1,,,,2024-11-26T21:18:05.090000
1732655887.921,Stop Drawing,0,,,,2024-11-26T21:18:07.921000
1732655889.276,Start Drawing,1,,,,2024-11-26T21:18:09.276000
1732655883.507,Reset Canvas,0,0,medium,,2024-11-26T21:18:03.507000
1732655885.09,Start Drawing,1,1,medium,,2024-11-26T21:18:05.090000
1732655890.096,Stop Drawing,0,,,,2024-11-26T21:18:10.096000
1732655891.052,Start Drawing,1,,,,2024-11-26T21:18:11.052000
1732655892.747,Stop Drawing,0,,,,2024-11-26T21:18:12.747000
1732655887.921,Stop Drawing,0,0,medium,,2024-11-26T21:18:07.921000
1732655893.096,Start Drawing,1,,,,2024-11-26T21:18:13.096000
1732655894.318,Stop Drawing,0,,,,2024-11-26T21:18:14.318000
1732655889.276,Start Drawing,1,1,medium,,2024-11-26T21:18:09.276000
1732655883.507,Reset Canvas,0,0,[[0.5]],1,2024-11-26T21:18:03.507000
1732655885.09,Start Drawing,1,1,[[0.5]],1,2024-11-26T21:18:05.090000
1732655890.096,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:18:10.096000
1732655891.052,Start Drawing,1,1,[[0.5]],,2024-11-26T21:18:11.052000
1732655892.747,Stop Drawing,0,0,[[0.5]],,2024-11-26T21:18:12.747000
1732655887.921,Stop Drawing,0,0,[[0.1]],1,2024-11-26T21:18:07.921000
1732655893.096,Start Drawing,1,1,[[0.1]],,2024-11-26T21:18:13.096000
1732655894.318,Stop Drawing,0,0,high,,2024-11-26T21:18:14.318000
1732655889.276,Start Drawing,1,1,[[0.9]],1,2024-11-26T21:18:09.276000
1732655890.096,Stop Drawing,0,0,[[0.9]],0,2024-11-26T21:18:10.096000
1732655891.052,Start Drawing,1,1,[[0.9]],0,2024-11-26T21:18:11.052000
1732655892.747,Stop Drawing,0,0,[[0.9]],0,2024-11-26T21:18:12.747000
1732655893.096,Start Drawing,1,1,[[0.9]],0,2024-11-26T21:18:13.096000
1732655894.318,Stop Drawing,0,0,[[0.9]],0,2024-11-26T21:18:14.318000
1732655912.284,Start Drawing,1,,,,2024-11-26T21:18:32.284000
1732655916.521,Stop Drawing,0,,,,2024-11-26T21:18:36.521000
1732655917.241,Start Drawing,1,,,,2024-11-26T21:18:37.241000
1732655912.284,Start Drawing,1,1,high,,2024-11-26T21:18:32.284000
1732655921.325,Stop Drawing,0,,,,2024-11-26T21:18:41.325000
1732655916.521,Stop Drawing,0,0,high,,2024-11-26T21:18:36.521000
1732655917.241,Start Drawing,1,1,high,,2024-11-26T21:18:37.241000
1732655912.284,Start Drawing,1,1,[[0.9]],0,2024-11-26T21:18:32.284000
1732655922.434,Changed Line Width to 14,0,,,,2024-11-26T21:18:42.434000
1732655923.289,Start Drawing,1,,,,2024-11-26T21:18:43.289000
1732655924.677,Stop Drawing,0,,,,2024-11-26T21:18:44.677000
1732655921.325,Stop Drawing,0,0,[[0.9]],,2024-11-26T21:18:41.325000
1732655916.521,Stop Drawing,0,0,[[0.9]],0,2024-11-26T21:18:36.521000
1732655927.001,Changed Color to #ff00ff,0,,,,2024-11-26T21:18:47.001000
1732655917.241,Start Drawing,1,1,[[0.9]],0,2024-11-26T21:18:37.241000
1732655922.434,Changed Line Width to 14,0,0,high,,2024-11-26T21:18:42.434000
1732655927.56,Start Drawing,1,,,,2024-11-26T21:18:47.560000
1732655923.289,Start Drawing,1,1,high,,2024-11-26T21:18:43.289000
1732655924.677,Stop Drawing,0,0,high,,2024-11-26T21:18:44.677000
1732655921.325,Stop Drawing,0,0,[[0.9]],0,2024-11-26T21:18:41.325000
1732655927.001,Changed Color to #ff00ff,0,0,[[0.9]],,2024-11-26T21:18:47.001000
1732655922.434,Changed Line Width to 14,0,0,[[0.9]],0,2024-11-26T21:18:42.434000
1732655927.56,Start Drawing,1,1,[[0.9]],,2024-11-26T21:18:47.560000
1732655923.289,Start Drawing,1,1,[[0.9]],1,2024-11-26T21:18:43.289000
1732655924.677,Stop Drawing,0,0,[[0.9]],1,2024-11-26T21:18:44.677000
1732655935.944,Stop Drawing,0,,,,2024-11-26T21:18:55.944000
1732655927.001,Changed Color to #ff00ff,0,0,[[0.9]],1,2024-11-26T21:18:47.001000
1732655927.56,Start Drawing,1,1,[[0.9]],1,2024-11-26T21:18:47.560000
1732655935.944,Stop Drawing,0,0,high,,2024-11-26T21:18:55.944000
