timestamp,action,interaction_value
1732648011.762,Start Drawing,1
1732648012.053,Stop Drawing,0
1732648028.989,Start Drawing,1
1732648029.526,Stop Drawing,0
1732648046.51,Start Drawing,1
1732648062.121,Start Drawing,1
1732648077.136,Stop Drawing,0
1732648093.795,Start Drawing,1
1732648093.984,Stop Drawing,0
1732648094.844,Start Drawing,1
1732648095.36,Stop Drawing,0
1732648110.229,Stop Drawing,0
1732648111.234,Start Drawing,1
