timestamp,action,interaction_value
1732648629.713,Changed Color to #ff0000,0
1732648629.713,Changed Color to #ff0000,0
1732648630.218,Start Drawing,1
1732648630.218,Start Drawing,1
1732648630.711,Stop Drawing,0
1732648630.711,Stop Drawing,0
1732648633.933,Changed Color to #4a86e8,0
1732648633.933,Changed Color to #4a86e8,0
1732648634.241,Start Drawing,1
1732648634.241,Start Drawing,1
1732648635.126,Stop Drawing,0
1732648635.126,Stop Drawing,0
1732648635.469,Start Drawing,1
1732648635.469,Start Drawing,1
1732648635.9,Stop Drawing,0
1732648635.9,Stop Drawing,0
1732648636.736,Start Drawing,1
1732648636.736,Start Drawing,1
1732648637.277,Stop Drawing,0
1732648637.277,Stop Drawing,0
1732648637.277,Stop Drawing,0
1732648637.744,Start Drawing,1
1732648637.744,Start Drawing,1
1732648637.744,Start Drawing,1
1732648638.201,Stop Drawing,0
1732648638.201,Stop Drawing,0
1732648641.039,Start Drawing,1
1732648641.039,Start Drawing,1
1732648641.448,Stop Drawing,0
1732648641.448,Stop Drawing,0
